seqn,weekday,avg_daily
31128,1,295.0508209538702
31128,2,291.9592803030303
31128,3,225.50972222222222
31128,4,363.6012658227848
31128,5,334.6695938529089
31128,6,364.62253521126763
31128,7,338.96180555555554
31129,1,380.6170212765957
31129,2,275.8167372881356
31129,3,311.3263274336283
31129,4,1066.625
31129,5,279.5234215885947
31129,6,291.93433799784714
31129,7,376.2373417721519
31131,1,365.8287937743191
31131,2,213.88135593220338
31131,3,230.8998862343572
31131,4,331.74945295404814
31131,5,338.69950738916253
31131,6,267.6069489685125
31131,7,280.3103975535168
31132,1,474.4310915104741
31132,2,474.04050925925924
31132,3,693.203426124197
31132,4,26.402332361516034
31132,5,730.1741344195519
31132,6,184.21906923950056
31132,7,446.0224358974359
31133,1,238
31133,2,175.71123595505617
31133,3,286.78476420798063
31133,4,152.40822179732314
31133,5,291.5845070422535
31133,6,218.21887550200802
31133,7,247.6
31134,1,277.55785123966945
31134,2,98.8529411764706
31134,3,470.0869565217391
31134,4,326.49663137632336
31134,5,241.18173168411036
31134,6,364.4166666666667
31134,7,453.2
31137,1,382.08299866131193
31137,2,346.88709677419354
31137,3,392.5574387947269
31137,4,220.625
31137,5,314.3248532289628
31137,6,326.5571557155716
31137,7,397.82312925170066
31139,1,122.62835249042146
31139,2,120.77167277167277
31139,3,191.49605263157895
31139,4,137.75938803894297
31139,5,243.73119777158774
31139,6,179.28546712802768
31139,7,185.53292496171517
31140,1,898.3937282229965
31140,2,449.69716088328073
31140,3,565.5436681222708
31140,4,906.1678726483358
31140,5,292.2298850574713
31141,1,185.26780626780626
31141,2,742.7075332348596
31141,3,322.16705069124424
31141,4,300.9640564826701
31141,5,184.2686721991701
31141,6,132.0036319612591
31141,7,162.23950056753688
31142,1,527.7698412698413
31142,2,319.4340909090909
31142,3,539.8484848484849
31142,4,366.54006968641113
31142,5,448.3802083333333
31142,6,480.5625
31143,1,400.1283422459893
31143,2,344.67366211962224
31143,3,570.1533396048918
31143,4,237.09972677595627
31143,5,334.00136612021856
31143,6,536.4821235102926
31143,7,330.95159629248195
31144,1,355.53879310344826
31144,2,181.4
31144,3,237.2229381443299
31144,4,223.19421487603304
31144,5,336.78434065934067
31144,6,384.3788546255507
31144,7,925
31145,1,727.979262672811
31145,2,446.4623044096728
31145,3,646.1551204819277
