seqn,total_count
31128,2421521
31129,1340156
31131,1751088
31132,2654034
31133,1208952
31134,1916944
31137,1944336
31139,839295
31140,1478976
31141,1576566
31142,1054090
31143,2543240
31144,774665
31145,3182296
31146,1187467
31147,3847261
31148,958508
31149,874460
31150,1597441
31151,1408252
31152,902096
31153,998524
31155,1450715
31156,1060176
31157,333208
31158,1532498
31159,9267
31160,1891773
31161,4030871
31162,616847
31164,2569498
31166,990991
31167,3202076
31170,1479398
31171,3590942
31172,606657
31173,2946386
31174,1246681
31177,663113
31178,1105984
31179,709004
31183,1844355
31186,2926849
31187,2095212
31189,2999333
31191,671632
31194,1597514
31195,2371896
31196,1502958
31199,4219549
31201,2117786
31204,850630
31206,279749
31207,532930
31208,43364
31212,170174
31213,638950
31214,350063
31215,1217369
31218,1040043
31219,3936309
31220,1462761
31221,1245425
31223,2426753
31224,2584860
31225,226598
31226,113870
31227,1700476
31228,5057585
31231,621423
31232,1001848
31235,1418139
31237,3321600
31238,2709885
31239,1070737
31241,2395319
31242,878914
31244,3947017
31245,504597
31246,2563905
31248,1727266
31250,1497519
31252,1277916
31255,2791784
31258,652434
31259,938962
31261,475725
31262,1209432
31264,1005557
31265,2060474
31266,373515
31267,2078363
31268,1854688
31269,315570
31270,3468638
31271,393923
31272,3478659
31273,1622123
31274,1161548
31275,1258654
31276,179863
31277,1455201
31278,1310502
31279,2377477
31284,600337
31285,1720784
31286,2279466
31288,2272621
31289,1536835
31290,2567780
31291,1169929
31292,1885798
31293,2455693
31295,2158351
31297,354397
31298,1053022
31299,1981700
31300,2008001
31303,748055
31304,1149131
31305,1400855
31309,1442972
31310,1133880
31311,1937050
31312,2186955
31313,453893
31314,3088712
31316,2077080
31317,1118585
31318,3840338
31319,3013295
31320,2745060
31321,655888
31324,2783483
31325,815557
31328,4526882
31329,1901265
31330,1874800
31331,3322186
31332,868699
31333,2568221
31334,744344
31336,1318447
31337,2090296
31339,559413
31341,1820577
31342,3125467
31343,594234
31344,2018204
31345,1503768
31346,1036939
31348,1746920
31350,1147457
31351,5321088
31352,857410
31353,6288
31358,1438512
31360,1390560
31361,50099
31362,1781507
31364,3018711
31365,404737
31367,303615
31370,871269
31371,1207047
31372,1472300
31373,1231184
31375,3559217
31376,2899713
31378,1490020
31379,349012
31380,1521875
31381,1713247
31382,1233864
31383,1145709
31384,2265618
31385,1351784
31386,912875
31387,38800
31388,1115339
31389,3224706
31391,1620971
31395,1363729
31396,2882868
31397,2003375
31398,3345991
31399,1278543
31400,281423
31402,1873145
31403,483744
31406,272326
31407,1086863
31409,4687041
31413,2783834
31416,972204
31417,1407999
31418,2066016
31420,4417767
31423,1236278
31425,1805449
31426,1108271
31427,2449763
31428,1204518
31429,1029757
31430,40850
31431,65959
31432,575825
31434,1283321
31435,2442824
31439,1443054
31442,528563
31443,972249
31446,1395287
31447,810534
31451,301851
31452,459032
31453,1934604
31454,1427050
31456,3197042
31457,1272237
31458,2066317
31460,1975137
31463,569820
31464,891496
31465,3804473
31466,1140842
31469,811365
31470,967889
31471,5726211
31472,358001
31474,5026828
31477,34409
31478,3158424
31480,2041581
31482,1019505
31483,1808050
31484,3936469
31485,2395357
31486,3531299
31487,531890
31488,2110270
31489,3633568
31491,2792462
31494,11715
31495,2980108
31496,2140448
31497,4017082
31498,1653122
31499,2280198
31501,433534
31503,2556595
31504,3470972
31505,957420
31506,1062302
31507,2275839
31508,421380
31509,100140
31510,2907303
31511,1578062
31512,1970574
31514,1128587
31515,1918804
31516,2207337
31518,941415
31519,853320
31520,1947109
31521,1727576
31522,1832958
31524,1277478
31525,137728
31527,2013491
31528,6560186
31529,1414891
31530,1703637
31531,1286296
31532,1185058
31533,2201447
31534,1838737
31535,521219
31537,1603644
31539,450498
31540,779232
31541,621821
31543,1467077
31544,1131791
31545,827200
31546,436176
31548,544957
31549,2749359
31551,915664
31553,2666580
31556,1866791
31558,486701
31559,696647
31560,2379535
31563,655295
31565,3351922
31566,1472770
31567,1650346
31568,2750555
31569,1761278
31570,2559382
31571,1013895
31574,3882118
31575,1986831
31577,2229708
31579,1468148
31580,805342
31582,1511421
31583,583268
31585,1255930
31586,2064288
31588,1627241
31589,1177
31590,2034016
31591,1204452
31592,1148559
31593,1404362
31594,1567549
31596,2149092
31597,1486671
31599,1666508
